# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
1e-13	0.15506262	-2.314575e-08	0.98788834	-6.975808e-17	-2.3980596e+07	300
2e-13	0.15506262	-4.760981e-08	0.98788834	-6.975808e-17	-2.3980596e+07	300
3.4999999999999997e-13	0.15506262	-8.699175e-08	0.9878883	-6.975808e-17	-2.6971428e+07	300
4.4999999999999995e-13	0.15506262	-1.1516347e-07	0.98788834	-6.975808e-17	-2.6971428e+07	300
5.5e-13	0.15506262	-1.4497684e-07	0.98788834	-6.975808e-17	-3.123985e+07	300
6.5e-13	0.15506262	-1.7653385e-07	0.98788834	-6.975808e-17	-3.123985e+07	300
7.499999999999999e-13	0.15506262	-2.0993787e-07	0.98788834	-6.975808e-17	-3.513605e+07	300
8.499999999999999e-13	0.15506262	-2.453033e-07	0.9878883	-6.9758087e-17	-3.513605e+07	300
9.5e-13	0.15506262	-2.8274576e-07	0.9878883	-6.975808e-17	-4.0696576e+07	300
1.05e-12	0.15506262	-3.2239384e-07	0.98788834	-6.975808e-17	-4.0696576e+07	300
1.15e-12	0.15506263	-3.6437922e-07	0.98788834	-6.975808e-17	-4.57722e+07	300
1.25e-12	0.15506262	-4.0884478e-07	0.98788834	-6.975808e-17	-4.57722e+07	300
1.35e-12	0.15506262	-4.559413e-07	0.98788834	-6.975808e-17	-5.1480852e+07	300
1.4499999999999999e-12	0.15506262	-5.0582685e-07	0.98788834	-6.975808e-17	-5.1480852e+07	300
1.5499999999999999e-12	0.15506262	-5.586704e-07	0.9878883	-6.975808e-17	-5.790147e+07	300
1.6499999999999998e-12	0.15506262	-6.146526e-07	0.98788834	-6.975808e-17	-5.790147e+07	300
1.7499999999999998e-12	0.15506262	-6.739618e-07	0.98788834	-6.975808e-17	-6.5122864e+07	300
1.85e-12	0.15506262	-7.368012e-07	0.98788834	-6.9758087e-17	-6.5122864e+07	300
1.95e-12	0.15506262	-8.0338384e-07	0.9878883	-6.975808e-17	-7.32449e+07	300
2.05e-12	0.15506262	-8.739356e-07	0.98788834	-6.975808e-17	-7.32449e+07	300
2.15e-12	0.15506262	-9.4869836e-07	0.98788834	-6.975808e-17	-8.237989e+07	300
2.25e-12	0.15506262	-1.0279263e-06	0.98788834	-6.975808e-17	-8.237989e+07	300
2.35e-12	0.15506262	-1.1118836e-06	0.98788834	-6.975808e-17	-9.265418e+07	300
2.45e-12	0.15506262	-1.2008667e-06	0.98788834	-6.9758087e-17	-9.265418e+07	300
2.55e-12	0.15506262	-1.2951766e-06	0.98788834	-6.975808e-17	-1.0420985e+08	300
2.65e-12	0.15506262	-1.3951349e-06	0.9878883	-6.975808e-17	-1.0420985e+08	300
2.7499999999999998e-12	0.15506262	-1.5010853e-06	0.98788834	-6.975808e-17	-1.1720671e+08	300
2.8499999999999998e-12	0.15506262	-1.6133912e-06	0.9878883	-6.9758087e-17	-1.1720671e+08	300
2.9499999999999997e-12	0.15506262	-1.7324355e-06	0.98788834	-6.975808e-17	-1.3182451e+08	300
3.0499999999999997e-12	0.15506262	-1.8586284e-06	0.98788834	-6.975808e-17	-1.3182451e+08	300
3.1499999999999997e-12	0.15506262	-1.9924032e-06	0.98788834	-6.975808e-17	-1.4826539e+08	300
3.2499999999999997e-12	0.15506262	-2.1342175e-06	0.98788834	-6.9758087e-17	-1.4826539e+08	300
3.3499999999999997e-12	0.15506262	-2.2845588e-06	0.98788834	-6.975808e-17	-1.6675674e+08	300
3.4499999999999996e-12	0.15506262	-2.4439432e-06	0.98788834	-6.975808e-17	-1.6675674e+08	300
3.5499999999999996e-12	0.15506262	-2.612919e-06	0.98788834	-6.975808e-17	-1.8755424e+08	300
3.65e-12	0.15506262	-2.792066e-06	0.98788834	-6.975808e-17	-1.8755424e+08	300
3.75e-12	0.15506262	-2.9820012e-06	0.98788834	-6.975808e-17	-2.1094554e+08	300
3.85e-12	0.15506262	-3.1833797e-06	0.98788834	-6.975808e-17	-2.1094554e+08	300
3.95e-12	0.15506262	-3.3968927e-06	0.9878883	-6.975808e-17	-2.3725408e+08	300
4.05e-12	0.15506262	-3.6232727e-06	0.98788834	-6.975808e-17	-2.3725408e+08	300
4.15e-12	0.15506262	-3.8633e-06	0.98788834	-6.975808e-17	-2.6684371e+08	300
4.25e-12	0.15506262	-4.1177973e-06	0.98788834	-6.9758087e-17	-2.6684371e+08	300
4.35e-12	0.15506262	-4.3876425e-06	0.98788834	-6.975808e-17	-3.001236e+08	300
4.45e-12	0.15506262	-4.673766e-06	0.98788834	-6.975808e-17	-3.001236e+08	300
4.55e-12	0.15506262	-4.9771484e-06	0.98788834	-6.975808e-17	-3.3755395e+08	300
4.65e-12	0.15506262	-5.298839e-06	0.9878883	-6.975807e-17	-3.3755395e+08	300
4.75e-12	0.15506262	-5.639942e-06	0.98788834	-6.975808e-17	-3.7965238e+08	300
4.85e-12	0.15506262	-6.001635e-06	0.98788834	-6.975807e-17	-3.7965238e+08	300
4.95e-12	0.15506263	-6.3851644e-06	0.9878883	-6.975807e-17	-4.2700102e+08	300
5.05e-12	0.15506263	-6.7918495e-06	0.98788834	-6.975808e-17	-4.2700102e+08	300
5.15e-12	0.15506263	-7.2230946e-06	0.98788834	-6.975808e-17	-4.8025462e+08	300
5.25e-12	0.15506262	-7.680385e-06	0.98788834	-6.975808e-17	-4.8025462e+08	300
5.35e-12	0.15506262	-8.165308e-06	0.98788834	-6.9758087e-17	-5.4014957e+08	300
5.45e-12	0.15506263	-8.679535e-06	0.9878883	-6.9758087e-17	-5.4014957e+08	300
5.5499999999999996e-12	0.15506262	-9.224854e-06	0.98788834	-6.975808e-17	-6.07514e+08	300
5.6499999999999996e-12	0.15506262	-9.80315e-06	0.98788834	-6.975808e-17	-6.07514e+08	300
5.7499999999999995e-12	0.15506262	-1.0416412e-05	0.98788834	-6.975808e-17	-6.8327936e+08	300
5.8499999999999995e-12	0.15506263	-1.1066744e-05	0.98788834	-6.9758087e-17	-6.8327936e+08	300
5.9499999999999995e-12	0.15506262	-1.1756385e-05	0.98788834	-6.975808e-17	-7.6849325e+08	300
6.0499999999999995e-12	0.15506262	-1.248771e-05	0.98788834	-6.975808e-17	-7.6849325e+08	300
6.1499999999999994e-12	0.15506262	-1.3263235e-05	0.98788834	-6.975808e-17	-8.643339e+08	300
