# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.8106697e-17	0	300
1e-13	0.15506262	-2.6028658e-08	0.98788834	-6.9758087e-17	-2.697817e+07	300
2e-13	0.15506262	-5.3549833e-08	0.98788834	-6.9758087e-17	-2.697817e+07	300
3.4999999999999997e-13	0.15506262	-9.784985e-08	0.98788834	-6.975808e-17	-3.0342858e+07	300
4.4999999999999995e-13	0.15506262	-1.295422e-07	0.98788834	-6.975808e-17	-3.0342858e+07	300
5.5e-13	0.15506263	-1.6308113e-07	0.98788834	-6.975808e-17	-3.514483e+07	300
6.5e-13	0.15506262	-1.9858267e-07	0.98788834	-6.975807e-17	-3.514483e+07	300
7.499999999999999e-13	0.15506263	-2.3616e-07	0.98788834	-6.975808e-17	-3.9528052e+07	300
8.499999999999999e-13	0.15506263	-2.759432e-07	0.98788834	-6.975807e-17	-3.9528052e+07	300
9.5e-13	0.15506263	-3.1806195e-07	0.98788834	-6.975808e-17	-4.5783644e+07	300
1.05e-12	0.15506262	-3.626602e-07	0.98788834	-6.975807e-17	-4.5783644e+07	300
1.15e-12	0.15506262	-4.0989096e-07	0.98788834	-6.975807e-17	-5.1493724e+07	300
1.25e-12	0.15506263	-4.5991266e-07	0.98788834	-6.975807e-17	-5.1493724e+07	300
1.35e-12	0.15506262	-5.128919e-07	0.98788834	-6.975807e-17	-5.7915956e+07	300
1.4499999999999999e-12	0.15506262	-5.690098e-07	0.98788834	-6.975808e-17	-5.7915956e+07	300
1.5499999999999999e-12	0.15506263	-6.284573e-07	0.98788834	-6.975808e-17	-6.513916e+07	300
1.6499999999999998e-12	0.15506262	-6.914364e-07	0.98788834	-6.975808e-17	-6.513916e+07	300
1.7499999999999998e-12	0.15506263	-7.581581e-07	0.98788834	-6.975808e-17	-7.3263224e+07	300
1.85e-12	0.15506262	-8.288514e-07	0.98788834	-6.975808e-17	-7.3263224e+07	300
1.95e-12	0.15506262	-9.037551e-07	0.98788834	-6.975807e-17	-8.2400504e+07	300
2.05e-12	0.15506262	-9.831257e-07	0.98788834	-6.975808e-17	-8.2400504e+07	300
2.15e-12	0.15506263	-1.0672346e-06	0.98788834	-6.975808e-17	-9.267738e+07	300
2.25e-12	0.15506262	-1.1563653e-06	0.98788834	-6.975808e-17	-9.267738e+07	300
2.35e-12	0.15506263	-1.2508233e-06	0.98788834	-6.975807e-17	-1.04235944e+08	300
2.45e-12	0.15506262	-1.3509339e-06	0.98788834	-6.975808e-17	-1.04235944e+08	300
2.55e-12	0.15506262	-1.4570359e-06	0.98788834	-6.975808e-17	-1.1723608e+08	300
2.65e-12	0.15506263	-1.5694956e-06	0.98788834	-6.975807e-17	-1.1723608e+08	300
2.7499999999999998e-12	0.15506262	-1.6886954e-06	0.98788834	-6.975808e-17	-1.3185755e+08	300
2.8499999999999998e-12	0.15506263	-1.8150445e-06	0.98788834	-6.975807e-17	-1.3185755e+08	300
2.9499999999999997e-12	0.15506262	-1.9489776e-06	0.98788834	-6.975808e-17	-1.4830258e+08	300
3.0499999999999997e-12	0.15506262	-2.0909524e-06	0.98788834	-6.975808e-17	-1.4830258e+08	300
3.1499999999999997e-12	0.15506263	-2.2414526e-06	0.98788834	-6.975808e-17	-1.6679856e+08	300
3.2499999999999997e-12	0.15506262	-2.4009985e-06	0.98788834	-6.975807e-17	-1.6679856e+08	300
3.3499999999999997e-12	0.15506262	-2.5701372e-06	0.98788834	-6.975808e-17	-1.8760133e+08	300
3.4499999999999996e-12	0.15506262	-2.7494493e-06	0.98788834	-6.975808e-17	-1.8760133e+08	300
3.5499999999999996e-12	0.15506263	-2.9395537e-06	0.98788834	-6.975808e-17	-2.1099851e+08	300
3.65e-12	0.15506263	-3.1410925e-06	0.98788834	-6.975808e-17	-2.1099851e+08	300
3.75e-12	0.15506262	-3.3547706e-06	0.98788834	-6.975808e-17	-2.3731371e+08	300
3.85e-12	0.15506262	-3.581321e-06	0.98788834	-6.975808e-17	-2.3731371e+08	300
3.95e-12	0.15506263	-3.821522e-06	0.98788834	-6.975808e-17	-2.6691083e+08	300
4.05e-12	0.15506262	-4.076192e-06	0.9878883	-6.975808e-17	-2.6691083e+08	300
4.15e-12	0.15506262	-4.346216e-06	0.98788834	-6.975808e-17	-3.0019917e+08	300
4.25e-12	0.15506262	-4.63252e-06	0.98788834	-6.975808e-17	-3.0019917e+08	300
4.35e-12	0.15506263	-4.9360888e-06	0.98788834	-6.975808e-17	-3.3763904e+08	300
4.45e-12	0.15506262	-5.2579685e-06	0.98788834	-6.975808e-17	-3.3763904e+08	300
4.55e-12	0.15506263	-5.5992696e-06	0.98788834	-6.975808e-17	-3.797482e+08	300
4.65e-12	0.15506262	-5.9611625e-06	0.98788834	-6.975808e-17	-3.797482e+08	300
4.75e-12	0.15506262	-6.344895e-06	0.98788834	-6.975808e-17	-4.2710893e+08	300
4.85e-12	0.15506262	-6.75179e-06	0.9878883	-6.975808e-17	-4.2710893e+08	300
4.95e-12	0.15506263	-7.1832505e-06	0.98788834	-6.975808e-17	-4.8037616e+08	300
5.05e-12	0.15506262	-7.640768e-06	0.98788834	-6.975808e-17	-4.8037616e+08	300
5.15e-12	0.15506263	-8.125922e-06	0.98788834	-6.975808e-17	-5.4028646e+08	300
5.25e-12	0.15506263	-8.640393e-06	0.98788834	-6.975808e-17	-5.4028646e+08	300
5.35e-12	0.15506262	-9.185959e-06	0.98788834	-6.975808e-17	-6.076682e+08	300
5.45e-12	0.15506262	-9.764497e-06	0.98788834	-6.975808e-17	-6.076682e+08	300
5.5499999999999996e-12	0.15506263	-1.0378011e-05	0.98788834	-6.975808e-17	-6.834532e+08	300
5.6499999999999996e-12	0.15506262	-1.1028601e-05	0.98788834	-6.975808e-17	-6.834532e+08	300
5.7499999999999995e-12	0.15506262	-1.1718512e-05	0.9878883	-6.975808e-17	-7.686893e+08	300
5.8499999999999995e-12	0.15506263	-1.245011e-05	0.98788834	-6.975808e-17	-7.686893e+08	300
5.9499999999999995e-12	0.15506262	-1.3225925e-05	0.98788834	-6.975808e-17	-8.645549e+08	300
6.0499999999999995e-12	0.15506262	-1.4048654e-05	0.98788834	-6.975808e-17	-8.645549e+08	300
6.1499999999999994e-12	0.15506259	-1.4921221e-05	0.98788834	-6.975808e-17	-9.723756e+08	300
6.2499999999999994e-12	0.15506256	-1.5846836e-05	0.98788834	-6.975808e-17	-9.723756e+08	300
6.349999999999999e-12	0.15506253	-1.6828963e-05	0.98788834	-6.975808e-17	-1.0936421e+09	300
6.449999999999999e-12	0.15506247	-1.7871173e-05	0.98788834	-6.9758073e-17	-1.0936421e+09	300
6.549999999999999e-12	0.15506242	-1.8977096e-05	0.98788834	-6.9758087e-17	-1.2300308e+09	300
6.649999999999999e-12	0.15506236	-2.015056e-05	0.98788834	-6.9758087e-17	-1.2300308e+09	300
6.749999999999999e-12	0.15506232	-2.1395947e-05	0.9878884	-6.975807e-17	-1.3834273e+09	300
6.849999999999999e-12	0.15506226	-2.2717588e-05	0.9878884	-6.9758073e-17	-1.3834273e+09	300
6.949999999999999e-12	0.15506223	-2.41197e-05	0.98788834	-6.975808e-17	-1.5559523e+09	300
7.049999999999999e-12	0.15506217	-2.5607053e-05	0.9878884	-6.9758073e-17	-1.5559523e+09	300
7.149999999999999e-12	0.15506211	-2.718474e-05	0.98788834	-6.9758073e-17	-1.7499904e+09	300
7.249999999999999e-12	0.15506205	-2.8858261e-05	0.9878884	-6.975807e-17	-1.7499904e+09	300
7.35e-12	0.15506199	-3.0633393e-05	0.9878884	-6.975806e-17	-1.9682239e+09	300
7.400000000000002e-12	0.15506196	-3.1560972e-05	0.9878884	-6.975806e-17	-1.9682239e+09	300
7.500000000000003e-12	0.1550619	-3.3500204e-05	0.9878884	-6.975808e-17	-1.9682239e+09	300
7.600000000000005e-12	0.15506181	-3.5557285e-05	0.9878884	-6.975807e-17	-2.2136689e+09	300
7.700000000000006e-12	0.15506172	-3.773944e-05	0.9878885	-6.9758053e-17	-2.2136689e+09	300
7.800000000000008e-12	0.15506162	-4.0054336e-05	0.9878885	-6.9758053e-17	-2.4897175e+09	300
7.90000000000001e-12	0.15506151	-4.2509924e-05	0.9878885	-6.975805e-17	-2.4897175e+09	300
8.000000000000011e-12	0.15506142	-4.5114648e-05	0.9878885	-6.975806e-17	-2.8001846e+09	300
8.100000000000013e-12	0.15506132	-4.787742e-05	0.98788846	-6.975806e-17	-2.8001846e+09	300
8.200000000000014e-12	0.15506122	-5.0807754e-05	0.9878885	-6.9758053e-17	-3.1493599e+09	300
8.300000000000016e-12	0.15506108	-5.3915806e-05	0.9878886	-6.9758053e-17	-3.1493599e+09	300
8.400000000000018e-12	0.15506096	-5.7212517e-05	0.9878886	-6.975806e-17	-3.542068e+09	300
8.500000000000019e-12	0.1550608	-6.0709426e-05	0.98788863	-6.975804e-17	-3.542068e+09	300
8.60000000000002e-12	0.15506068	-6.441858e-05	0.98788863	-6.975807e-17	-3.9837338e+09	300
8.700000000000022e-12	0.1550605	-6.835268e-05	0.98788863	-6.9758053e-17	-3.9837338e+09	300
8.800000000000024e-12	0.15506037	-7.252526e-05	0.98788863	-6.975805e-17	-4.4804577e+09	300.00003
8.900000000000025e-12	0.1550602	-7.695061e-05	0.9878887	-6.9758034e-17	-4.4804577e+09	300.00003
9.000000000000027e-12	0.15506004	-8.1643855e-05	0.9878887	-6.975807e-17	-5.0391004e+09	300.00003
9.100000000000029e-12	0.15505989	-8.6621076e-05	0.9878887	-6.975806e-17	-5.0391004e+09	300.00003
9.20000000000003e-12	0.15505971	-9.189933e-05	0.98788875	-6.9758053e-17	-5.6673746e+09	300.00003
9.300000000000032e-12	0.15505955	-9.749687e-05	0.9878888	-6.975806e-17	-5.6673746e+09	300.00003
9.400000000000033e-12	0.15505934	-0.00010343311	0.9878888	-6.9758053e-17	-6.373954e+09	300.00003
9.500000000000035e-12	0.15505916	-0.000109728455	0.9878888	-6.975804e-17	-6.373954e+09	300.00003
9.600000000000037e-12	0.15505892	-0.000116405325	0.9878888	-6.975803e-17	-7.1685914e+09	300.00003
9.700000000000038e-12	0.15505868	-0.00012348633	0.98788893	-6.975804e-17	-7.1685914e+09	300.00003
9.80000000000004e-12	0.15505841	-0.00013099579	0.98788893	-6.975805e-17	-8.0622515e+09	300.00006
9.900000000000041e-12	0.15505815	-0.00013895954	0.98788905	-6.975805e-17	-8.0622515e+09	300.00006
1.0000000000000043e-11	0.15505785	-0.00014740555	0.9878891	-6.975802e-17	-9.067262e+09	300.00006
1.0100000000000045e-11	0.15505755	-0.00015636264	0.9878891	-6.9758014e-17	-9.067262e+09	300.00006
1.0200000000000046e-11	0.15505722	-0.00016586133	0.9878892	-6.9758014e-17	-1.0197481e+10	300.0001
1.0300000000000048e-11	0.15505692	-0.00017593446	0.9878892	-6.9758053e-17	-1.0197481e+10	300.0001
1.040000000000005e-11	0.15505657	-0.00018661655	0.98788923	-6.975804e-17	-1.1468492e+10	300.0001
1.0500000000000051e-11	0.1550562	-0.00019794464	0.9878893	-6.9758053e-17	-1.1468492e+10	300.0001
1.0600000000000053e-11	0.1550558	-0.00020995853	0.9878894	-6.975802e-17	-1.2897807e+10	300.00012
1.0700000000000054e-11	0.15505537	-0.00022269905	0.9878894	-6.975802e-17	-1.2897807e+10	300.00012
1.0800000000000056e-11	0.15505491	-0.00023621017	0.9878895	-6.9758034e-17	-1.4505114e+10	300.00015
1.0900000000000057e-11	0.15505445	-0.00025053855	0.9878895	-6.975802e-17	-1.4505114e+10	300.00015
1.1000000000000059e-11	0.15505397	-0.0002657337	0.98788965	-6.975802e-17	-1.6312538e+10	300.0002
1.110000000000006e-11	0.15505344	-0.0002818472	0.9878897	-6.975801e-17	-1.6312538e+10	300.0002
1.1200000000000062e-11	0.15505289	-0.0002989352	0.9878898	-6.975798e-17	-1.834495e+10	300.00027
1.1300000000000064e-11	0.15505227	-0.00031705626	0.98788995	-6.975797e-17	-1.834495e+10	300.00027
1.1400000000000065e-11	0.15505168	-0.0003362738	0.98789	-6.975795e-17	-2.063029e+10	300.00034
1.1500000000000067e-11	0.155051	-0.00035665266	0.98789006	-6.9757974e-17	-2.063029e+10	300.00034
1.1600000000000069e-11	0.1550503	-0.00037826237	0.9878901	-6.9757954e-17	-2.3199965e+10	300.00043
1.170000000000007e-11	0.15504953	-0.000401178	0.98789036	-6.9757954e-17	-2.3199965e+10	300.00043
1.1800000000000072e-11	0.15504876	-0.0004254785	0.9878905	-6.9757954e-17	-2.6089247e+10	300.00052
1.1900000000000073e-11	0.15504792	-0.00045124715	0.98789054	-6.975795e-17	-2.6089247e+10	300.00052
1.2000000000000075e-11	0.15504704	-0.00047857402	0.9878906	-6.9757895e-17	-2.9337768e+10	300.00067
1.2100000000000076e-11	0.15504612	-0.0005075516	0.98789084	-6.975792e-17	-2.9337768e+10	300.00067
1.2200000000000078e-11	0.15504514	-0.00053828	0.9878909	-6.9757875e-17	-3.2990036e+10	300.00085
1.230000000000008e-11	0.15504405	-0.000570864	0.9878911	-6.9757855e-17	-3.2990036e+10	300.00085
1.2400000000000081e-11	0.15504292	-0.00060541666	0.98789126	-6.975783e-17	-3.709604e+10	300.00107
1.2500000000000083e-11	0.15504172	-0.00064205553	0.9878914	-6.975783e-17	-3.709604e+10	300.00107
1.2600000000000084e-11	0.15504046	-0.00068090786	0.9878915	-6.975777e-17	-4.171189e+10	300.00134
1.2700000000000086e-11	0.1550391	-0.0007221054	0.9878918	-6.975776e-17	-4.171189e+10	300.00134
1.2800000000000088e-11	0.15503767	-0.000765793	0.98789203	-6.975765e-17	-4.690059e+10	300.0017
1.290000000000009e-11	0.15503618	-0.00081211654	0.9878922	-6.9757637e-17	-4.690059e+10	300.0017
1.3000000000000091e-11	0.15503457	-0.0008612375	0.9878924	-6.9757524e-17	-5.2732826e+10	300.00217
1.3100000000000092e-11	0.15503287	-0.000913321	0.9878927	-6.9757524e-17	-5.2732826e+10	300.00217
1.3200000000000094e-11	0.15503107	-0.0009685481	0.98789287	-6.975742e-17	-5.928792e+10	300.00272
1.3300000000000096e-11	0.1550292	-0.0010271044	0.98789304	-6.9757425e-17	-5.928792e+10	300.00272
1.3400000000000097e-11	0.15502717	-0.0010891948	0.9878934	-6.975724e-17	-6.665483e+10	300.00345
1.3500000000000099e-11	0.15502505	-0.0011550261	0.9878936	-6.975723e-17	-6.665483e+10	300.00345
1.36000000000001e-11	0.1550228	-0.0012248283	0.9878939	-6.975704e-17	-7.493329e+10	300.00436
1.3700000000000102e-11	0.15502042	-0.0012988334	0.98789406	-6.9757034e-17	-7.493329e+10	300.00436
1.3800000000000104e-11	0.15501788	-0.001377301	0.9878944	-6.975678e-17	-8.423507e+10	300.0055
1.3900000000000105e-11	0.1550152	-0.0014604906	0.9878948	-6.975677e-17	-8.423507e+10	300.0055
1.4000000000000107e-11	0.15501234	-0.0015486953	0.98789513	-6.975644e-17	-9.468539e+10	300.00696
1.4100000000000108e-11	0.15500933	-0.001642204	0.9878955	-6.975643e-17	-9.468539e+10	300.00696
1.420000000000011e-11	0.15500616	-0.0017413464	0.98789567	-6.9755995e-17	-1.0642445e+11	300.0088
1.4300000000000112e-11	0.15500279	-0.0018464458	0.9878961	-6.975599e-17	-1.0642445e+11	300.0088
1.4400000000000113e-11	0.15499923	-0.0019578726	0.98789644	-6.975547e-17	-1.1960914e+11	300.0111
1.4500000000000115e-11	0.15499544	-0.0020759879	0.9878968	-6.975547e-17	-1.1960914e+11	300.0111
1.4600000000000116e-11	0.15499145	-0.002201211	0.98789716	-6.97548e-17	-1.3441489e+11	300.01404
1.4700000000000115e-11	0.15498722	-0.0023339435	0.9878975	-6.975477e-17	-1.3441489e+11	300.01404
1.4800000000000113e-11	0.15498276	-0.0024746577	0.9878979	-6.975391e-17	-1.5103777e+11	300.01773
1.490000000000011e-11	0.15497804	-0.0026238	0.98789823	-6.975388e-17	-1.5103777e+11	300.01773
1.500000000000011e-11	0.15497306	-0.0027818913	0.9878985	-6.975255e-17	-1.7470756e+11	300.0239
1.5100000000000108e-11	0.15496778	-0.0029494604	0.9878989	-6.975246e-17	-1.7470756e+11	300.0239
1.5200000000000106e-11	0.15496218	-0.0031270464	0.9878993	-6.975241e-17	-1.7470756e+11	300.0239
1.5300000000000105e-11	0.15495628	-0.003315299	0.98789966	-6.975055e-17	-2.0204434e+11	300.03217
1.5400000000000103e-11	0.15495007	-0.0035147872	0.98789996	-6.975047e-17	-2.0204434e+11	300.03217
1.55000000000001e-11	0.15494347	-0.00372621	0.98790014	-6.974806e-17	-2.3360184e+11	300.0432
1.56000000000001e-11	0.15493649	-0.003950267	0.9879004	-6.974796e-17	-2.3360184e+11	300.0432
1.5700000000000098e-11	0.15492916	-0.004187661	0.9879006	-6.97478e-17	-2.3360184e+11	300.0432
1.5800000000000097e-11	0.1549214	-0.0044392757	0.9879008	-6.9744574e-17	-2.7001258e+11	300.05795
1.5900000000000095e-11	0.1549132	-0.0047058347	0.9879008	-6.9744415e-17	-2.7001258e+11	300.05795
1.6000000000000093e-11	0.15490454	-0.004988279	0.98790073	-6.974011e-17	-3.1199733e+11	300.07767
1.6100000000000092e-11	0.15489545	-0.00528753	0.9879007	-6.97399e-17	-3.1199733e+11	300.07767
1.620000000000009e-11	0.15488584	-0.0056044916	0.9879005	-6.9739664e-17	-3.1199733e+11	300.07767
1.630000000000009e-11	0.15487568	-0.0059403717	0.98790014	-6.973393e-17	-3.6037526e+11	300.10394
1.6400000000000087e-11	0.15486503	-0.0062960736	0.98789966	-6.973361e-17	-3.6037526e+11	300.10394
1.6500000000000085e-11	0.15485375	-0.006672862	0.98789895	-6.9725946e-17	-4.1607447e+11	300.13898
1.6600000000000084e-11	0.1548419	-0.00707194	0.987898	-6.9725575e-17	-4.1607447e+11	300.13898
1.6700000000000082e-11	0.15482941	-0.0074944594	0.9878968	-6.972514e-17	-4.1607447e+11	300.13898
1.680000000000008e-11	0.1548163	-0.00794208	0.9878955	-6.971493e-17	-4.801425e+11	300.18564
1.690000000000008e-11	0.1548025	-0.008415888	0.9878937	-6.971439e-17	-4.801425e+11	300.18564
1.7000000000000077e-11	0.15478797	-0.008917585	0.9878916	-6.970084e-17	-5.537564e+11	300.24768
1.7100000000000075e-11	0.15477276	-0.009448734	0.98788905	-6.970018e-17	-5.537564e+11	300.24768
1.7200000000000074e-11	0.15475672	-0.010010761	0.9878861	-6.96994e-17	-5.537564e+11	300.24768
1.7300000000000072e-11	0.15473999	-0.010605972	0.98788255	-6.9681324e-17	-6.382319e+11	300.3301
1.740000000000007e-11	0.15472236	-0.011235604	0.9878784	-6.968037e-17	-6.382319e+11	300.3301
1.750000000000007e-11	0.15470393	-0.01190195	0.9878735	-6.96565e-17	-7.350305e+11	300.43942
1.7600000000000067e-11	0.15468465	-0.012607012	0.9878678	-6.965531e-17	-7.350305e+11	300.43942
1.7700000000000066e-11	0.15466444	-0.013352496	0.9878612	-6.965398e-17	-7.350305e+11	300.43942
1.7800000000000064e-11	0.15464336	-0.014141642	0.98785365	-6.962225e-17	-8.457632e+11	300.58417
1.7900000000000062e-11	0.1546213	-0.014975713	0.98784477	-6.96206e-17	-8.457632e+11	300.58417
1.800000000000006e-11	0.15459834	-0.015857816	0.9878346	-6.957875e-17	-9.7218986e+11	300.77542
1.810000000000006e-11	0.15457438	-0.016790468	0.98782307	-6.957665e-17	-9.7218986e+11	300.77542
1.8200000000000057e-11	0.15454945	-0.017775605	0.9878098	-6.957434e-17	-9.7218986e+11	300.77542
1.8300000000000056e-11	0.15452352	-0.018817835	0.9877945	-6.951908e-17	-1.1162111e+12	301.0275
1.8400000000000054e-11	0.15449661	-0.019918159	0.9877772	-6.9516146e-17	-1.1162111e+12	301.0275
1.8500000000000052e-11	0.1544687	-0.0210808	0.98775756	-6.944371e-17	-1.279851e+12	301.35886
1.860000000000005e-11	0.15443979	-0.022308858	0.9877351	-6.944006e-17	-1.279851e+12	301.35886
1.870000000000005e-11	0.15440996	-0.023604311	0.98770976	-6.943598e-17	-1.279851e+12	301.35886
1.8800000000000048e-11	0.15437908	-0.024973819	0.987681	-6.9340764e-17	-1.4652274e+12	301.79315
1.8900000000000046e-11	0.15434738	-0.026417522	0.98764837	-6.9335695e-17	-1.4652274e+12	301.79315
1.9000000000000044e-11	0.1543147	-0.0279412	0.9876117	-6.921167e-17	-1.6745055e+12	302.36035
1.9100000000000043e-11	0.15428115	-0.029548565	0.9875702	-6.9205365e-17	-1.6745055e+12	302.36035
1.920000000000004e-11	0.15424702	-0.031241195	0.98752356	-6.9198343e-17	-1.6745055e+12	302.36035
1.930000000000004e-11	0.15421179	-0.03302889	0.987471	-6.903669e-17	-1.909831e+12	303.09808
1.9400000000000038e-11	0.15417622	-0.034909785	0.9874119	-6.902798e-17	-1.909831e+12	303.09808
1.9500000000000036e-11	0.15413994	-0.036891878	0.98734564	-6.881928e-17	-2.1732389e+12	304.05322
1.9600000000000034e-11	0.15410315	-0.038979392	0.9872713	-6.88085e-17	-2.1732389e+12	304.05322
1.9700000000000033e-11	0.15406656	-0.04117268	0.987188	-6.879656e-17	-2.1732389e+12	304.05322
1.980000000000003e-11	0.1540288	-0.043486398	0.9870948	-6.8527196e-17	-2.4665328e+12	305.28342
1.990000000000003e-11	0.15399176	-0.045914643	0.9869908	-6.85125e-17	-2.4665328e+12	305.28342
2.0000000000000028e-11	0.15395448	-0.048468594	0.98687464	-6.8168715e-17	-2.791133e+12	306.8585
2.0100000000000026e-11	0.15391733	-0.051152736	0.986745	-6.8150696e-17	-2.791133e+12	306.8585
2.0200000000000025e-11	0.15388203	-0.053964682	0.98660094	-6.81308e-17	-2.791133e+12	306.8585
2.0300000000000023e-11	0.153845	-0.056926686	0.9864403	-6.769298e-17	-3.1478868e+12	308.86157
2.040000000000002e-11	0.1538108	-0.060025293	0.9862621	-6.76687e-17	-3.1478868e+12	308.86157
2.050000000000002e-11	0.1537769	-0.063276365	0.98606426	-6.711822e-17	-3.5368526e+12	311.38977
2.0600000000000018e-11	0.15374403	-0.06668418	0.9858449	-6.708881e-17	-3.5368526e+12	311.38977
2.0700000000000016e-11	0.15371591	-0.07024099	0.98560244	-6.7056495e-17	-3.5368526e+12	311.38977
2.0800000000000015e-11	0.15368421	-0.07398097	0.9853339	-6.636725e-17	-3.95705e+12	314.55365
2.0900000000000013e-11	0.15365894	-0.07787752	0.9850377	-6.6328344e-17	-3.95705e+12	314.55365
2.100000000000001e-11	0.15363438	-0.081953354	0.98471093	-6.547808e-17	-4.406199e+12	318.4754
2.110000000000001e-11	0.15361151	-0.086211756	0.98435104	-6.5431614e-17	-4.406199e+12	318.4754
2.1200000000000008e-11	0.15359822	-0.09063575	0.98395586	-6.538086e-17	-4.406199e+12	318.4754
2.1300000000000007e-11	0.15357651	-0.09527757	0.9835207	-6.433917e-17	-4.880462e+12	323.28534
2.1400000000000005e-11	0.1535669	-0.100089334	0.9830444	-6.4279114e-17	-4.880462e+12	323.28534
2.1500000000000003e-11	0.15355739	-0.10510368	0.9825226	-6.3024353e-17	-5.374218e+12	329.1155
2.1600000000000002e-11	0.15354939	-0.11032181	0.9819517	-6.295393e-17	-5.374218e+12	329.1155
2.175e-11	0.15355085	-0.1185111	0.9809972	-6.142314e-17	-5.8799046e+12	336.09137
2.1849999999999998e-11	0.15355077	-0.12423782	0.98028857	-6.133811e-17	-5.8799046e+12	336.09137
2.1949999999999996e-11	0.15357223	-0.13013421	0.97952	-6.12464e-17	-5.8799046e+12	336.09137
2.2049999999999994e-11	0.15356673	-0.13629563	0.9786827	-5.949325e-17	-6.3879727e+12	344.32056
2.2149999999999993e-11	0.15358682	-0.14262171	0.9777779	-5.938841e-17	-6.3879727e+12	344.32056
2.224999999999999e-11	0.15360174	-0.14916727	0.9767986	-5.7371924e-17	-6.8869905e+12	353.87973
2.234999999999999e-11	0.15361343	-0.15592813	0.97574043	-5.7253405e-17	-6.8869905e+12	353.87973
2.2449999999999988e-11	0.15365824	-0.16283871	0.9746041	-5.7126946e-17	-6.8869905e+12	353.87973
2.2549999999999986e-11	0.15365234	-0.17003433	0.9733756	-5.4843114e-17	-7.3639406e+12	364.80075
2.2649999999999984e-11	0.15368462	-0.17736572	0.97206146	-5.4702562e-17	-7.3639406e+12	364.80075
2.2749999999999983e-11	0.15370393	-0.18490696	0.9706522	-5.2173143e-17	-7.804726e+12	377.05765
2.284999999999998e-11	0.15371257	-0.19264925	0.9691439	-5.201909e-17	-7.804726e+12	377.05765
2.294999999999998e-11	0.15376858	-0.20049801	0.9675418	-5.1856638e-17	-7.804726e+12	377.05765
2.3049999999999978e-11	0.15374081	-0.20863417	0.9658246	-4.9108085e-17	-8.1948815e+12	390.55658
2.3149999999999976e-11	0.15376627	-0.21685342	0.9640083	-4.8933404e-17	-8.1948815e+12	390.55658
2.3249999999999975e-11	0.15376848	-0.22525029	0.96208066	-4.6016716e-17	-8.520455e+12	405.13132
2.3349999999999973e-11	0.15374987	-0.23381162	0.96003884	-4.58317e-17	-8.520455e+12	405.13132
2.344999999999997e-11	0.15379494	-0.24241371	0.95789564	-4.5639138e-17	-8.520455e+12	405.13132
2.354999999999997e-11	0.153719	-0.25128025	0.95562005	-4.2612332e-17	-8.7689774e+12	420.54565
2.3649999999999968e-11	0.15371299	-0.2601568	0.95324266	-4.2412574e-17	-8.7689774e+12	420.54565
2.3749999999999966e-11	0.15367447	-0.2691551	0.9507472	-3.934581e-17	-8.930427e+12	436.50406
2.3849999999999965e-11	0.15360592	-0.27825883	0.9481336	-3.9141697e-17	-8.930427e+12	436.50406
2.3949999999999963e-11	0.15361807	-0.28732276	0.94542414	-3.8932275e-17	-8.930427e+12	436.50406
2.404999999999996e-11	0.15347871	-0.29659888	0.9425775	-3.590101e-17	-8.998058e+12	452.66986
2.414999999999996e-11	0.15342622	-0.3058015	0.9396405	-3.5691437e-17	-8.998058e+12	452.66986
2.4249999999999958e-11	0.15333834	-0.3150512	0.93659365	-3.2762937e-17	-8.96899e+12	468.68878
2.4349999999999957e-11	0.1532175	-0.32433125	0.9334401	-3.2556204e-17	-8.96899e+12	468.68878
2.4449999999999955e-11	0.15319331	-0.33348915	0.930211	-3.234709e-17	-8.96899e+12	468.68878
2.4549999999999953e-11	0.15300614	-0.34278107	0.92685753	-2.9590593e-17	-8.844465e+12	484.21548
2.4649999999999952e-11	0.15292092	-0.35192046	0.9234396	-2.938821e-17	-8.844465e+12	484.21548
2.474999999999995e-11	0.15280811	-0.36102483	0.9199365	-2.6845832e-17	-8.629736e+12	498.93845
2.484999999999995e-11	0.1526697	-0.3700804	0.91635334	-2.6652333e-17	-8.629736e+12	498.93845
2.4949999999999947e-11	0.15264055	-0.37894493	0.91272736	-2.645928e-17	-8.629736e+12	498.93845
2.5049999999999945e-11	0.15246275	-0.387852	0.9090071	-2.4174641e-17	-8.333603e+12	512.6005
2.5149999999999944e-11	0.15239775	-0.39654645	0.90525794	-2.3992971e-17	-8.333603e+12	512.6005
2.5249999999999942e-11	0.15232334	-0.40513176	0.90146	-2.1974068e-17	-7.9676666e+12	525.0123
2.534999999999994e-11	0.15224062	-0.41359898	0.8976197	-2.1804628e-17	-7.9676666e+12	525.0123
2.544999999999994e-11	0.1522743	-0.42183134	0.8937736	-2.163768e-17	-7.9676666e+12	525.0123
2.5549999999999937e-11	0.15219577	-0.4300199	0.889875	-1.9897658e-17	-7.545405e+12	536.0576
2.5649999999999935e-11	0.15223458	-0.43796355	0.8859845	-1.974381e-17	-7.545405e+12	536.0576
2.5749999999999934e-11	0.15228748	-0.44574448	0.8820851	-1.8263089e-17	-7.081191e+12	545.6911
2.5849999999999932e-11	0.15235433	-0.4533598	0.8781823	-1.8122108e-17	-7.081191e+12	545.6911
