# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1.3e+06
2.5e-13	0.15968116	7.629948e-05	0.9871687	300	-2.530205e+10	1.3e+06
5e-13	0.15972136	0.00020035706	0.9871622	300.00018	-4.1452323e+10	1.2999998e+06
7.999999999999999e-13	0.1597961	0.00044712698	0.9871501	300.00067	-6.621365e+10	1.2999991e+06
1.05e-12	0.15989077	0.00077516795	0.9871344	300.00238	-1.12334496e+11	1.2999969e+06
1.3e-12	0.16002701	0.0012646271	0.9871119	300.0056	-1.697164e+11	1.2999928e+06
1.5499999999999999e-12	0.16021883	0.0019764996	0.9870796	300.01263	-2.5e+11	1.2999835e+06
1.7999999999999998e-12	0.16048233	0.002985852	0.98703426	300.02713	-3.5905556e+11	1.2999648e+06
2.05e-12	0.16083485	0.0043811803	0.98697174	300.05554	-5.0279252e+11	1.2999278e+06
2.3e-12	0.16129352	0.006261856	0.9868866	300.10846	-6.8646974e+11	1.299859e+06
2.55e-12	0.16187292	0.008733365	0.98677295	300.20224	-9.138176e+11	1.299737e+06
2.7999999999999998e-12	0.1625825	0.011900156	0.9866232	300.3602	-1.1860502e+12	1.2995316e+06
3.0499999999999997e-12	0.1634232	0.015856387	0.9864287	300.61313	-1.5009013e+12	1.2992028e+06
3.2999999999999997e-12	0.1643846	0.020675218	0.9861795	300.99808	-1.8518536e+12	1.2987019e+06
3.5499999999999996e-12	0.16544218	0.02639772	0.9858661	301.55502	-2.227751e+12	1.2979769e+06
3.8e-12	0.16655542	0.033022802	0.98547894	302.32098	-2.6129562e+12	1.2969792e+06
4.05e-12	0.16766769	0.040499717	0.98501146	303.32236	-2.9881548e+12	1.2956738e+06
4.3e-12	0.16870771	0.04872453	0.98446095	304.56674	-3.331805e+12	1.2940496e+06
4.55e-12	0.16959295	0.05754164	0.9838329	306.03665	-3.6221087e+12	1.2921285e+06
4.8e-12	0.17023467	0.066750646	0.9831401	307.68695	-3.839272e+12	1.2899682e+06
5.05e-12	0.17054409	0.07611844	0.9824056	309.44797	-3.9677266e+12	1.287659e+06
5.3e-12	0.17043898	0.08539527	0.98166096	311.23392	-3.9979752e+12	1.285313e+06
5.5499999999999996e-12	0.16984974	0.09433264	0.98094463	312.95502	-3.927751e+12	1.283048e+06
5.7999999999999995e-12	0.16872516	0.10270161	0.98029804	314.53088	-3.7622986e+12	1.2809706e+06
6.0499999999999995e-12	0.16703552	0.11030794	0.979761	315.90134	-3.5137273e+12	1.2791612e+06
6.2999999999999994e-12	0.16477416	0.117003486	0.9793669	317.03287	-3.1995456e+12	1.2776654e+06
6.549999999999999e-12	0.1619568	0.122691944	0.97914076	317.91916	-2.840626e+12	1.2764925e+06
6.799999999999999e-12	0.15861924	0.12732913	0.9790951	318.57684	-2.4589251e+12	1.2756215e+06
7.049999999999999e-12	0.15481342	0.13091828	0.97923094	319.03806	-2.0753053e+12	1.2750104e+06
7.3e-12	0.1506026	0.13350184	0.9795388	319.3423	-1.7077495e+12	1.274607e+06
7.500000000000003e-12	0.14698933	0.13489199	0.9798971	319.5293	-1.3701618e+12	1.274359e+06
7.750000000000007e-12	0.14222713	0.13585806	0.9804663	319.63412	-1.0718277e+12	1.27422e+06
8.000000000000011e-12	0.13725805	0.13605762	0.9811467	319.68478	-8.174922e+11	1.2741529e+06
